ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-125,Швейцарське фондю: вся Швейцарія і Австрія!!!,Швейцарія,"0,53","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-126,У ритмі літа... Відпочинок на Адріатичному морі Італії,Італія,"0,06","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-127,Моя морська насолода!  Відпочинок на Адріатичному морі Італії!,Італія,"0,37","0,58",COMPETITOR,,"0,58",,,,,,,
ACC-128,Куточок морського раю… відпочинок на Лігурійському узбережжі Італії,Італія,"0,67","0,45",COMPETITOR,,"0,45",,,,,,,
ACC-129,Відпустка на морі: відпочинок на Адріатичному узбережжя Італії,Італія,"0,58","0,50",COMPETITOR,,"0,50",,,,,,,
ACC-130,Я і море - це amore: 3 ночі на узбережжі Адріатичного моря Італії,Італія,"-0,18","0,55",COMPETITOR,,"0,55",,,,,,,
ACC-131,"Скандинавський бум: Стокгольм, Осло, Копенгаген!  3 столиці Скандинавії!",Данія,"0,00","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-132,Підкоренні красою… Скандинавія і Фйорди!,Норвегія,"0,33","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-133,Цікаві вихідні в Трансільванії,Румунія,"0,10","0,84",COMPETITOR,,"0,84",,,,,,,
ACC-134,Серце Адріатики... Чорногорія + Хорватія,Чорногорія,"-0,03","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-135,Морський бриз Чорногорії,Чорногорія,"-0,32","0,55",COMPETITOR,,"0,55",,,,,,,
ACC-136,Палкий тиждень в Іспанії,Іспанія,"-0,03","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-137,Незнайомка з Півдня... Італія,Італія,"0,79","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-138,"Казки Балтійського моря  Стокгольм, Рига, Таллінн",Естонія,"-0,10","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-139,Спокій Адріатики  Відпочинок на морі в Чорногорії,Чорногорія,"-0,22","0,59",COMPETITOR,,"0,59",,,,,,,
